year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2020,Singapore University of Social Sciences,School of Business,Bachelor of Science in Finance*,100,50,3537,3163,3854,3163,2850,4466
2020,Singapore University of Social Sciences,School of Business,Bachelor of Science in Marketing,92.1,51.3,3126,2900,3246,2900,2750,3520
2020,Singapore University of Social Sciences,School of Business,"Bachelor of Science in Supply Chain
Management*",88,36,3125,3100,3284,3185,2950,3500
2020,Singapore University of Technology and Design,Singapore University of Technology and Design,"Bachelor of Engineering
(Engineering Product
Development)",94.6,82.1,3809,3800,3901,3800,3500,4150
2020,Singapore University of Technology and Design,Singapore University of Technology and Design,"Bachelor of Engineering
(Engineering Systems and Design)",95.2,77.1,4195,3950,4287,4000,3725,4900
2020,Singapore University of Technology and Design,Singapore University of Technology and Design,"Bachelor of Engineering
(Information Systems Technology
and Design)",96.9,85.4,4581,4500,4734,4500,4000,5000
2020,Singapore University of Technology and Design,Singapore University of Technology and Design,"Bachelor of Science (Architecture
and Sustainable Design)^{6}",100,95.6,3897,3800,3982,3800,3500,4070
2021,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,97.7,93,3505,3300,3539,3400,3100,3500
2021,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,99.2,96.2,5018,4500,5173,4500,3700,5858
2021,Nanyang Technological University,College of Business (Nanyang Business School),Business,96.2,85.2,4211,4000,4362,4000,3500,4800
2021,Nanyang Technological University,College of Business (Nanyang Business School),"Double Degree in Business and Computer
Engineering/Computing",93.8,87.5,6418,6300,6578,6300,5250,8225
2021,Nanyang Technological University,College of Engineering,Aerospace Engineering,94.4,87.3,4250,4250,4321,4471,3792,5000
2021,Nanyang Technological University,College of Engineering,Bioengineering,90.9,75.8,3480,3483,3654,3500,3300,3850
2021,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,91.1,84.8,3784,3600,3959,3740,3600,4300
2021,Nanyang Technological University,College of Engineering,Civil Engineering,97.7,92,3596,3500,3664,3540,3400,3800
2021,Nanyang Technological University,College of Engineering,Computer Engineering,95.8,89.6,4649,4500,4847,4500,4000,5000
2021,Nanyang Technological University,College of Engineering,Computer Science,97,91,4871,4800,4924,4800,4200,5450
2021,Nanyang Technological University,College of Engineering,"Double Degree in Engineering and
Economics^{6} *",90.9,90.9,4485,4580,4566,4583,4530,4900
2021,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,93.9,88.6,3978,3900,4069,4000,3600,4400
2021,Nanyang Technological University,College of Engineering,Environmental Engineering,96.6,86.2,3422,3500,3487,3500,3200,3600
2021,Nanyang Technological University,College of Engineering,Information Engineering and Media,95.7,88.6,4247,4200,4325,4200,3900,4800
2021,Nanyang Technological University,College of Engineering,Maritime Studies,98.4,95.2,3697,3500,3763,3500,3500,4000
2021,Nanyang Technological University,College of Engineering,Materials Engineering,96.3,83,3701,3600,3801,3650,3500,4000
2021,Nanyang Technological University,College of Engineering,Mechanical Engineering,94,86.1,3845,3700,4006,3800,3570,4400
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design and Media",86.2,46.6,3146,3000,3182,3000,2650,3675
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,87,72.5,3376,3250,3483,3300,3053,3650
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,96.9,80.8,3463,3375,3548,3500,3000,3943
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,93.5,88.3,3658,3500,3720,3650,3300,4000
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,95.5,64.2,3254,3300,3354,3500,3000,3600
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,82.2,66.7,3724,3675,3800,3675,3500,4000
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Inter-Disciplinary Double Major^{7} *,92.9,75,3794,3650,3822,3650,3450,4180
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,87.2,70.2,3351,3300,3398,3300,3000,3850
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Philosophy,88.5,57.7,3394,3400,3502,3400,2915,4480
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,91.8,71.8,3342,3300,3362,3350,3000,3500
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy and Global Affairs,83.3,77.1,4024,3778,4105,3804,3500,4524
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,91.3,69.6,3509,3475,3567,3500,3200,3940
2021,Nanyang Technological University,College of Science,Biological Sciences / Biomedical Sciences^{8},96.8,81.7,3470,3400,3569,3500,3260,3800
2021,Nanyang Technological University,College of Science,"Biomedical Sciences and Chinese
Medicine^{9} *",90.9,77.3,3023,3100,3119,3100,2890,3300
2021,Nanyang Technological University,College of Science,Chemistry and Biological Chemistry,90.2,74.4,3367,3400,3501,3400,3100,3700
2021,Nanyang Technological University,College of Science,Environmental Earth Systems Sciences^{10} *,100,91.3,3810,3892,3888,3950,3500,4300
2021,Nanyang Technological University,College of Science,"Mathematical Sciences / Mathematical
Sciences and Economics^{11}",91,75.6,3939,3750,4039,3806,3500,4500
2021,Nanyang Technological University,College of Science,Physics and Applied Physics,84.5,69,3710,3570,3793,3600,3384,4000
2021,Nanyang Technological University,Sports Science and Management,Sports Science and Management,86.2,55.4,3292,3300,3438,3300,3100,3620
2021,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3563,3754,3718,3780,3700,3900
2021,Nanyang Technological University,National Institute of Education (NIE),Science (with Education)*,100,100,3578,3776,3796,3904,3727,4000
2021,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine^{9},100,100,4702,4700,5404,5500,5200,5800
2021,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,91.4,70,3405,3200,3600,3200,2850,4100
2021,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),88.8,68.3,3619,3500,3731,3650,3400,3983
2021,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,92.5,78.2,3757,3531,3850,3600,3400,4100
2021,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4256,4200,4286,4200,4200,4600
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Biomedical
Engineering)",94.4,83.3,3610,3500,3732,3600,3300,4000
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Chemical
Engineering)",91.4,84.8,3793,3700,4023,3800,3600,4300
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Civil
Engineering)",97.3,97.3,3780,3700,3897,3700,3500,4100
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Electrical
Engineering)",95.1,93,4251,4000,4377,4150,3900,4550
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Engineering
Science)*",89.5,68.4,4189,4500,4399,4500,4000,4900
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering
(Environmental Engineering)",97.1,88.6,3572,3500,3607,3500,3300,3900
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Industrial
and Systems Engineering)",96.7,91.8,4237,4150,4417,4500,4000,4900
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Materials
Science and Engineering)",91.7,87.5,3899,3775,4020,3896,3600,4200
2021,National University of Singapore,Faculty of Engineering,"Bachelor of Engineering (Mechanical
Engineering)",94.5,89.5,3965,3800,4115,3875,3500,4550
2021,National University of Singapore,Faculty of Law,Bachelor of Laws^{6},96.5,93.5,5398,5150,5627,5600,4500,6000
2021,National University of Singapore,Faculty of Science,Bachelor of Science,82.4,56.9,3446,3300,3627,3527,3100,4000
2021,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),92.2,76.5,3665,3500,3767,3600,3400,4000
2021,National University of Singapore,Faculty of Science,"Bachelor of Science (Computational
Biology)*",100,100,4655,4500,4677,4500,4000,5000
2021,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy)^{6},95.9,91.9,3773,3760,3923,3915,3636,4200
2021,National University of Singapore,Faculty of Science,"Bachelor of Science (Data Science
and Analytics)",97.7,95.3,4819,4500,4981,4800,4200,5400
